rank,enumeration_date,years_open,type,practice_name,specialty,address,city,state,zip,phone,check_meta_ads,check_google_ads,npi
1,2026-05-15,0.0,Org,CARE HEALTH MEDICAL LLC,Psychiatry,2810 W SAINT ISABEL ST STE 100A,TAMPA,FL,33607,813-452-7954,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CARE%20HEALTH%20MEDICAL%20LLC,https://adstransparency.google.com/?region=US&query=CARE%20HEALTH%20MEDICAL%20LLC,1164351102
2,2026-04-27,0.1,Org,"CUREPOINT WOUND CARE, LLC",Primary Care,3920 NORTHDALE BLVD,TAMPA,FL,33624,352-266-1241,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=CUREPOINT%20WOUND%20CARE%2C%20LLC,https://adstransparency.google.com/?region=US&query=CUREPOINT%20WOUND%20CARE%2C%20LLC,1235075862
3,2026-04-06,0.1,Org,MAI ENDOCRINOLOGY PLLC,Endocrinology,6938 W LINEBAUGH AVE STE 101,TAMPA,FL,33625,832-209-0000,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=MAI%20ENDOCRINOLOGY%20PLLC,https://adstransparency.google.com/?region=US&query=MAI%20ENDOCRINOLOGY%20PLLC,1891637344
4,2026-03-19,0.2,Org,OLIVE BRANCH HEALTH AND WELLNESS LLC,Gastroenterology,3018 N US HIGHWAY 301 STE 200,TAMPA,FL,33619,813-679-5413,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=OLIVE%20BRANCH%20HEALTH%20AND%20WELLNESS%20LLC,https://adstransparency.google.com/?region=US&query=OLIVE%20BRANCH%20HEALTH%20AND%20WELLNESS%20LLC,1316895865
5,2026-03-02,0.2,Org,RAFAEL A RONDON MD PA,Endocrinology,5331 PRIMROSE LAKE CIR STE 112,TAMPA,FL,33647,813-517-4629,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=RAFAEL%20A%20RONDON%20MD%20PA,https://adstransparency.google.com/?region=US&query=RAFAEL%20A%20RONDON%20MD%20PA,1801741236
6,2026-02-27,0.2,Org,AKSHAR 2025 LLC,Psychiatry,1211 TECH BLVD,TAMPA,FL,33619,727-251-9704,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=AKSHAR%202025%20LLC,https://adstransparency.google.com/?region=US&query=AKSHAR%202025%20LLC,1740135458
7,2026-02-25,0.2,Org,POM META INC,Endocrinology,2201 W SWANN AVE STE 280,TAMPA,FL,33606,813-316-6500,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=POM%20META%20INC,https://adstransparency.google.com/?region=US&query=POM%20META%20INC,1386598258
8,2026-02-25,0.2,Org,POM CARDIO INC.,Cardiology,2201 W SWANN AVE STE 280,TAMPA,FL,33606,813-316-6500,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=POM%20CARDIO%20INC.,https://adstransparency.google.com/?region=US&query=POM%20CARDIO%20INC.,1669326534
9,2026-02-04,0.3,Org,ALL AGES ENDOCRINOLOGY AND HORMONE CLINIC,Endocrinology,2111 W SWANN AVE STE 204,TAMPA,FL,33606,813-428-8606,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=ALL%20AGES%20ENDOCRINOLOGY%20AND%20HORMONE%20CLINIC,https://adstransparency.google.com/?region=US&query=ALL%20AGES%20ENDOCRINOLOGY%20AND%20HORMONE%20CLINIC,1184575300
10,2026-02-03,0.3,Org,POM ENDO INC,Endocrinology,2201 W SWANN AVE STE 280,TAMPA,FL,33606,813-316-6500,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&search_type=keyword_unordered&q=POM%20ENDO%20INC,https://adstransparency.google.com/?region=US&query=POM%20ENDO%20INC,1952252314
